ID ,FCQ,FO,Entity/ies described,Template (Y/N),Instantiates Template,Source,Link
bfo_dd_1,Can [] exist on its own or is this entity a property of another entity or depends on at least 1 other entity (a bearer)?,BFO,own: Independent Continuant ,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_2,Does [] always have some matter (space and mass) as a part that persists in time?,BFO,Material Entity,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_3,Does [] exist (by evolution or design) to realise specific processes?,BFO,Function,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_4,Does [] exist because the bearer is in a specific situation?,BFO,Role,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_5,Does [] require at least 2 bearers to exist?,BFO,Relational quality,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_6,Does [] require some further process to be realised?,BFO,Realizable entity,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_7,Does this describe a process whereby there has been a substantial change?,BFO,History or process profile,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_8,Does this describe the rate of change or the actual changes that are occurring?,BFO,rate: History; actual: process profile,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_9,How many dimensions does [] have?,BFO,Region,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_10,Is [] a collection of disjoint self-standing single objects?,BFO,Object aggregate,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_11,Is [] a moment or does it take longer?,BFO,moment: 0D temp region; longer: 1D temp region,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_12,"Is [] a proper part of an object, rather than a member of?",BFO,object),Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
bfo_dd_13,"Is [] bounded, partially or wholly, by a material entity or is it a portion in space?",BFO,Immaterial Entity,Y,,"Bernabé, C.H., Keet, C.M., Khan, Z.C., Mahlaza, Z. A method to improve alignments between domain and foundational ontologies. 13th International Conference on Formal Ontology in Information Systems 2023 (FOIS'23). IOS Press, FAIA vol. 377, 125-139. 18-20 July Sherbrooke, Canada.",
